"state","city","neighbourhood","lat","lng"
"Cundinamarca","Bogotá D.C.","SANTILLANA",4.6721264,-74.1117281
"Antioquia","Medellín","SANTO DOMIGO",6.29491815,-75.5423357
"Atlántico","Barranquilla","SANTO DOMINGO",10.9748178,-74.8046517
"Cundinamarca","Bogotá D.C.","SANTO DOMINGO",4.5778317,-74.182345
"Norte de Santander","Cúcuta","SANTO DOMINGO",7.8752511,-72.5049536
"Antioquia","Medellín","SANTO DOMINGO",6.2946328,-75.5418068
"Cundinamarca","Soacha","SANTO DOMINGO",4.5778317,-74.182345
"Atlántico","Otros","SANTO TOMAS",10.763286,-74.756499
"Santander","Bucaramanga","SANTOS BAJO",7.1220908,-73.1192924
"Cundinamarca","Bogotá D.C.","SANTOS",4.6066944,-74.09203835
"Atlántico","Barranquilla","SANTUARIO",10.9496136,-74.8083078
"Antioquia","Medellín","SANTUARIO",6.13919245,-75.26500505
"Magdalena","Santa Marta","SARABANDA",11.1949369,-74.2202017
"Nariño","Nariño","SARANCOCHO",1.35587,-77.59996
"Cundinamarca","Bogotá D.C.","SATA FE",4.6121433,-74.0708166
"Nariño","Nariño","SCHUMACHER",1.3351042,-77.588991
"Nariño","Nariño","SEBASTIÁN",1.0808899,-77.55889
"Cundinamarca","Bogotá D.C.","SECTOR CONCREBLOK",4.6772436,-74.104133
"Cundinamarca","Bogotá D.C.","SECTOR CONTADOR",4.7201019,-74.0471448
"Cundinamarca","Bogotá D.C.","SECTOR GÓMEZ",4.6505176,-74.0713175
"Norte de Santander","Cúcuta","SECTOR HOSPITAL",7.9093984,-72.49195115
"Cundinamarca","Bogotá D.C.","SECTOR LA VÍRGEN",4.70892795,-74.07670365
